Customer_ID,upsell_xsell,churn
471,0,0
1057,0,0
1177,0,0
1181,0,0
1185,1,0
1207,1,0
1210,0,0
1211,0,0
1213,0,0
1214,0,0
1215,0,0
1219,0,0
1221,0,0
1227,0,0
1228,0,0
1234,0,0
1239,0,0
1244,0,0
1249,0,0
1254,0,0
1259,0,0
1261,0,0
1264,0,0
1265,0,0
1268,0,0
1269,0,0
1271,0,1
1291,0,0
1296,0,0
1301,0,0
1304,1,0
1305,0,0
1332,0,0
1337,0,0
1338,0,0
1339,1,0
1341,0,0
1342,0,0
1350,1,0
1352,0,0
1356,0,0
1358,0,0
1363,0,0
1364,0,0
1365,0,0
1366,0,0
1369,0,0
1370,0,0
1371,0,0
1377,0,0
1381,0,0
1383,0,0
1384,0,0
1385,0,0
1390,0,0
1401,0,0
1408,0,0
1409,0,0
1415,0,0
1418,0,1
1816,0,0
2042,0,0
2116,0,0
2229,0,0
2878,0,0
3023,0,0
3455,0,0
3457,0,0
3536,0,0
3871,0,0
3880,0,0
3929,0,0
4144,1,0
4276,1,0
4317,0,0
4409,0,0
4554,0,0
4562,0,0
4632,0,0
4984,1,0
5036,0,0
5153,0,0
5926,0,0
5936,0,0
6265,0,0
6269,0,0
6399,0,0
6633,1,0
6802,0,0
6950,0,1
7502,0,0
7505,0,0
7507,0,0
7757,0,0
7914,0,0
8046,0,0
8110,1,0
8604,1,0
8623,0,0
8749,0,0
8859,0,0
8913,0,0
8923,0,0
8930,0,0
8941,0,0
8944,0,0
8945,0,0
8947,0,0
8952,0,0
8953,0,0
8954,0,0
8955,0,0
8963,0,0
8965,1,0
8969,0,0
8979,0,0
8983,1,0
8986,0,0
8987,1,0
8989,0,0
8991,0,0
8996,0,0
8998,0,0
9005,0,0
9014,1,0
9017,0,0
9019,0,0
9022,0,0
9023,0,0
9024,0,0
9030,0,0
9035,0,0
9036,0,0
9040,0,0
9043,0,0
9049,0,0
9051,0,0
9054,0,0
9058,1,0
9060,0,0
9066,1,0
9067,0,0
9070,0,0
9088,0,0
9090,0,0
9091,0,0
9094,0,0
9096,0,0
9097,0,0
9098,1,0
9099,0,0
9101,0,0
9104,0,0
9111,0,0
9114,0,0
9115,0,0
9117,0,1
9119,0,0
9121,0,0
9130,0,0
9133,0,0
9136,0,0
9140,0,0
9143,0,0
9144,0,0
9145,1,1
9151,1,0
9156,0,0
9159,0,0
9162,0,1
9166,0,0
9170,0,0
9175,0,0
9176,0,0
9182,0,0
9190,0,0
9195,0,0
9200,0,1
9208,0,0
9211,0,0
9212,0,0
9220,0,1
9222,0,0
9229,1,0
9233,0,0
9234,0,0
9239,0,0
9240,0,0
9241,0,0
9242,1,0
9244,0,0
9248,0,0
9249,0,0
9252,0,0
9257,0,0
9266,0,0
9267,0,0
9275,0,0
9277,0,0
9285,0,0
9286,0,0
9288,0,0
9290,0,0
9291,0,0
9294,0,0
9295,0,0
9299,0,0
9300,0,0
9324,0,0
9328,0,0
9333,0,0
9334,0,0
9335,0,0
9336,0,0
9339,0,0
9340,0,0
9341,0,0
9345,0,0
9346,0,0
9350,0,0
9353,0,0
9359,0,0
9360,1,0
9361,0,0
9368,0,0
9370,0,0
9371,0,0
9375,0,0
9376,0,0
9378,0,0
9387,0,0
9390,0,0
9392,0,0
9394,0,0
9403,0,0
9411,0,0
9415,0,0
9416,1,0
9420,0,0
9425,0,0
9428,0,0
9431,0,0
9433,0,0
9434,0,0
9441,0,0
9450,0,0
9451,0,0
9458,0,0
9464,0,0
9467,0,0
9471,0,0
9472,0,0
9477,0,0
9494,0,0
9501,0,0
9503,0,1
9506,0,0
9509,0,0
9514,0,0
9518,0,0
9535,0,0
9536,0,0
9539,1,0
9545,0,0
9556,0,0
9562,0,0
9570,0,0
9576,0,0
9583,0,0
9586,0,0
9596,0,0
9606,0,0
9612,0,0
9613,0,0
9616,0,0
9617,0,0
9621,0,0
9627,0,0
9634,0,0
9637,0,0
9639,0,0
9640,0,0
9643,0,0
